slide_id,wsi_path,reason
TCGA-CC-5260-01Z-00-DX1,/data3/chensx/tcga_data/3c9ac02f-12dd-4a44-8d45-f31e8b1af264/TCGA-CC-5260-01Z-00-DX1.48FDF3FB-5ABA-4456-84D7-564C94ACDD85.svs,missing_feature_pt
TCGA-G3-A3CJ-01Z-00-DX1,/data3/chensx/tcga_data/0223084f-90a7-417a-8b84-3e30d578a9ad/TCGA-G3-A3CJ-01Z-00-DX1.80279A8A-38D9-4B23-8A83-E32D8C4FC6EA.svs,missing_feature_pt
TCGA-ED-A7XP-01Z-00-DX1,/data3/chensx/tcga_data/173682e5-cb3e-4bfb-8038-14b92aa44ffe/TCGA-ED-A7XP-01Z-00-DX1.B0EF8C2B-9A52-4FCB-8F23-A84D844F069F.svs,missing_feature_pt
TCGA-DD-AADU-01Z-00-DX1,/data3/chensx/tcga_data/5de4bb26-54cd-47cc-88e9-0c42b752a6ac/TCGA-DD-AADU-01Z-00-DX1.8DF049B2-F949-46CB-ADD4-FA43C7949254.svs,missing_feature_pt
TCGA-CC-A8HS-01Z-00-DX1,/data3/chensx/tcga_data/458e0da2-9f00-4ddd-a216-3fd4c0f58376/TCGA-CC-A8HS-01Z-00-DX1.267BA6C7-41E1-4E93-AB80-ECB6D082F49E.svs,missing_feature_pt
TCGA-DD-A73E-01Z-00-DX2,/data3/chensx/tcga_data/50b191c1-9c5a-4cad-8c14-25b1a764ce2c/TCGA-DD-A73E-01Z-00-DX2.B2A1AD8B-0875-4684-9A60-1E9F3CE89BA8.svs,missing_feature_pt
TCGA-ED-A5KG-01Z-00-DX1,/data3/chensx/tcga_data/51295fcb-2f5b-4953-ae91-824bea61a8ed/TCGA-ED-A5KG-01Z-00-DX1.76622341-8248-4674-87B6-AEDAA3857D9B.svs,missing_feature_pt
TCGA-DD-AACK-01Z-00-DX1,/data3/chensx/tcga_data/fed99ca3-ea08-4f19-9c64-e9d8ff8f34ef/TCGA-DD-AACK-01Z-00-DX1.9B507BB8-18D5-419A-AEB4-5B71ECAECDAC.svs,missing_feature_pt
TCGA-FV-A2QR-01Z-00-DX1,/data3/chensx/tcga_data/74f5de70-ddad-4594-87f8-d32739275ef8/TCGA-FV-A2QR-01Z-00-DX1.2A2C52AC-8A5F-4E8E-95FE-C653D424FC21.svs,missing_feature_pt
TCGA-FV-A2QQ-01Z-00-DX1,/data3/chensx/tcga_data/4783cae7-8bf2-4de3-81d1-4856f7124691/TCGA-FV-A2QQ-01Z-00-DX1.69270284-202A-459E-BDAB-74C930A1A2B5.svs,missing_feature_pt
TCGA-DD-A39V-01Z-00-DX1,/data3/chensx/tcga_data/438e3fe7-eafb-476d-b178-eac80007317f/TCGA-DD-A39V-01Z-00-DX1.9988FD7A-099D-4DCA-8CDC-7303E7382D6C.svs,missing_feature_pt
